"","comb_size(m1)"
"111111",71960
"111110",4927
"111101",5700
"111011",15398
"110111",6795
"101111",41847
"011111",6464
"111100",6323
"111010",4257
"111001",4306
"110110",1456
"110101",1557
"110011",5007
"101110",6608
"101101",5985
"101011",27390
"100111",21225
"011110",1789
"011101",1300
"011011",4362
"010111",6517
"001111",25602
"111000",9864
"110100",1865
"110010",2525
"110001",2673
"101100",8008
"101010",10705
"101001",10154
"100110",6389
"100101",6079
"100011",26962
"011100",2014
"011010",2534
"011001",2329
"010110",2542
"010101",2188
"010011",6813
"001110",10319
"001101",6898
"001011",33230
"000111",65715
"110000",6513
"101000",22574
"100100",9477
"100010",16677
"100001",16587
"011000",7199
"010100",4426
"010010",6259
"010001",6071
"001100",14143
"001010",20723
"001001",16942
"000110",32206
"000101",29652
"000011",124086
"100000",36333
"010000",37667
"001000",43172
"000100",77049
"000010",89327
"000001",104224
"000000",146071
