"","target_id","gene","ctenidia","gonad","heart","juvenile","larvae","identifiers","gene_id.x","gene_name.x","annotation","alt_annotation","goterms","accessions","gene_id.y","gene_name.y","gene_description","alt_gene_description","all_GO_ids","BP_GO_ids","CC_GO_ids","MF_GO_ids","GOslim","Term"
"1","PGEN_.00g000650","PGEN_.00g000650",0,0,0.401517,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","PGEN_.00g002020","PGEN_.00g002020",0,0,0.417499,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","PGEN_.00g002350","PGEN_.00g002350",0,0,0.801935,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","PGEN_.00g003560","PGEN_.00g003560",0,0,0.222977,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","PGEN_.00g004850","PGEN_.00g004850",0,0,2.025971,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","PGEN_.00g006710","PGEN_.00g006710",0,0,0.144319,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","PGEN_.00g007400","PGEN_.00g007400",0,0,0.097821,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","PGEN_.00g008950","PGEN_.00g008950",0,0,0.14265,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","PGEN_.00g009050","PGEN_.00g009050",0,0,0.30222,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","PGEN_.00g010240","PGEN_.00g010240",0,0,0.21591,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","PGEN_.00g015620","PGEN_.00g015620",0,0,0.116737,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","PGEN_.00g016680","PGEN_.00g016680",0,0,0.163267,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","PGEN_.00g017410","PGEN_.00g017410",0,0,0.392171,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","PGEN_.00g017950","PGEN_.00g017950",0,0,1.707045,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","PGEN_.00g017960","PGEN_.00g017960",0,0,1.191474,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","PGEN_.00g019310","PGEN_.00g019310",0,0,0.278832,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","PGEN_.00g020780","PGEN_.00g020780",0,0,0.137847,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","PGEN_.00g020880","PGEN_.00g020880",0,0,0.190282,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","PGEN_.00g022090","PGEN_.00g022090",0,0,0.121924,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","PGEN_.00g023180","PGEN_.00g023180",0,0,1.615422,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","PGEN_.00g023810","PGEN_.00g023810",0,0,7.801546,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","PGEN_.00g025570","PGEN_.00g025570",0,0,1.02866,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","PGEN_.00g026710","PGEN_.00g026710",0,0,15.266669,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","PGEN_.00g027130","PGEN_.00g027130",0,0,1.262681,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","PGEN_.00g029120","PGEN_.00g029120",0,0,0.193142,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","PGEN_.00g029270","PGEN_.00g029270",0,0,0.534542,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","PGEN_.00g032860","PGEN_.00g032860",0,0,0.676003,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","PGEN_.00g032950","PGEN_.00g032950",0,0,11.3987,0,0,"P18433;A8K2G8;D3DVX5;Q14513;Q7Z2I2;Q96TD9","5786","PTPRA","Receptor-type tyrosine-protein phosphatase alpha","Short-chain dehydrogenase 21","GO:0070062;GO:0005925;GO:0005887;GO:0099699;GO:0016020;GO:0005886;GO:0043235;GO:0098685;GO:0004725;GO:0005001;GO:0008286;GO:0007229;GO:0050804;GO:0006470;GO:0006468;GO:0051893","P18433;A8K2G8;D3DVX5;Q14513;Q7Z2I2;Q96TD9","5786","PTPRA","Receptor-type tyrosine-protein phosphatase alpha","Short-chain dehydrogenase 21","GO:0070062;GO:0005925;GO:0005887;GO:0099699;GO:0016020;GO:0005886;GO:0043235;GO:0098685;GO:0004725;GO:0005001;GO:0008286;GO:0007229;GO:0050804;GO:0006470;GO:0006468;GO:0051893","GO:0008286;GO:0007229;GO:0050804;GO:0006470;GO:0006468;GO:0051893","GO:0070062;GO:0005925;GO:0005887;GO:0099699;GO:0016020;GO:0005886;GO:0043235;GO:0098685","GO:0004725;GO:0005001","GO:0023052;GO:0023052;GO:0023052;GO:0007155;GO:0034330","signaling;signaling;signaling;cell adhesion;cell junction organization"
"29","PGEN_.00g035130","PGEN_.00g035130",0,0,0.063894,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","PGEN_.00g035600","PGEN_.00g035600",0,0,0.120637,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","PGEN_.00g036460","PGEN_.00g036460",0,0,0.060653,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","PGEN_.00g036610","PGEN_.00g036610",0,0,11.132294,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","PGEN_.00g038980","PGEN_.00g038980",0,0,0.063555,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","PGEN_.00g039700","PGEN_.00g039700",0,0,0.11345,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","PGEN_.00g042230","PGEN_.00g042230",0,0,0.058005,0,0,"P35348;A8K0I3;B0ZBD1;B0ZBD2;B0ZBD4;B0ZBD5;B0ZBD6;B0ZBD8;B0ZBD9O60451;Q13675;Q13729;Q4VBM7;Q6RUJ4;Q6RUJ5;Q6RUJ7;Q6RUJ8;Q6RUJ9Q96RE8;Q9UD63;Q9UD67","148","ADRA1A","Alpha-1A adrenergic receptor","Alpha-adrenergic receptor 1c","GO:0005901;GO:0005737;GO:0005829;GO:0098691;GO:0098982;GO:0098978;GO:0005887;GO:0099055;GO:0099056;GO:0043231;GO:0031965;GO:0005654;GO:0005634;GO:0005886;GO:0030315;GO:0030018;GO:0004937;GO:0004930;GO:0046982;GO:0007202;GO:0071880;GO:0007512;GO:0007568;GO:0006915;GO:0060402;GO:0061049;GO:0007267;GO:0007186;GO:0035556;GO:0060073;GO:0010259;GO:0010507;GO:0008285;GO:0001985;GO:0035024;GO:0150099;GO:0001994;GO:0007200;GO:0097195;GO:0045760;GO:0060452;GO:0010613;GO:0007204;GO:0070374;GO:0001996;GO:0043410;GO:1903997;GO:0090037;GO:0045987;GO:0032230;GO:0003084;GO:0001997;GO:0045907;GO:2000300;GO:0009725;GO:0009410;GO:0007165;GO:0006939","P35348;A8K0I3;B0ZBD1;B0ZBD2;B0ZBD4;B0ZBD5;B0ZBD6;B0ZBD8;B0ZBD9O60451;Q13675;Q13729;Q4VBM7;Q6RUJ4;Q6RUJ5;Q6RUJ7;Q6RUJ8;Q6RUJ9Q96RE8;Q9UD63;Q9UD67","148","ADRA1A","Alpha-1A adrenergic receptor","Alpha-adrenergic receptor 1c","GO:0005901;GO:0005737;GO:0005829;GO:0098691;GO:0098982;GO:0098978;GO:0005887;GO:0099055;GO:0099056;GO:0043231;GO:0031965;GO:0005654;GO:0005634;GO:0005886;GO:0030315;GO:0030018;GO:0004937;GO:0004930;GO:0046982;GO:0007202;GO:0071880;GO:0007512;GO:0007568;GO:0006915;GO:0060402;GO:0061049;GO:0007267;GO:0007186;GO:0035556;GO:0060073;GO:0010259;GO:0010507;GO:0008285;GO:0001985;GO:0035024;GO:0150099;GO:0001994;GO:0007200;GO:0097195;GO:0045760;GO:0060452;GO:0010613;GO:0007204;GO:0070374;GO:0001996;GO:0043410;GO:1903997;GO:0090037;GO:0045987;GO:0032230;GO:0003084;GO:0001997;GO:0045907;GO:2000300;GO:0009725;GO:0009410;GO:0007165;GO:0006939","GO:0007202;GO:0071880;GO:0007512;GO:0007568;GO:0006915;GO:0060402;GO:0061049;GO:0007267;GO:0007186;GO:0035556;GO:0060073;GO:0010259;GO:0010507;GO:0008285;GO:0001985;GO:0035024;GO:0150099;GO:0001994;GO:0007200;GO:0097195;GO:0045760;GO:0060452;GO:0010613;GO:0007204;GO:0070374;GO:0001996;GO:0043410;GO:1903997;GO:0090037;GO:0045987;GO:0032230;GO:0003084;GO:0001997;GO:0045907;GO:2000300;GO:0009725;GO:0009410;GO:0007165;GO:0006939","GO:0005901;GO:0005737;GO:0005829;GO:0098691;GO:0098982;GO:0098978;GO:0005887;GO:0099055;GO:0099056;GO:0043231;GO:0031965;GO:0005654;GO:0005634;GO:0005886;GO:0030315;GO:0030018","GO:0004937;GO:0004930;GO:0046982","GO:0023052;GO:0048856;GO:0012501;GO:0055085;GO:0003012;GO:0030154;GO:0048856;GO:0023052;GO:0023052;GO:0023052;GO:0003014;GO:0048856;GO:0006914;GO:0003013;GO:0050877;GO:0023052;GO:0023052;GO:0003013;GO:0023052;GO:0003012;GO:0003013;GO:0003012;GO:0023052;GO:0003013;GO:0023052;GO:0023052;GO:0003012;GO:0023052;GO:0003013;GO:0003013;GO:0003013;GO:0016192;GO:0023052;GO:0023052;GO:0003012","signaling;anatomical structure development;programmed cell death;transmembrane transport;muscle system process;cell differentiation;anatomical structure development;signaling;signaling;signaling;renal system process;anatomical structure development;autophagy;circulatory system process;nervous system process;signaling;signaling;circulatory system process;signaling;muscle system process;circulatory system process;muscle system process;signaling;circulatory system process;signaling;signaling;muscle system process;signaling;circulatory system process;circulatory system process;circulatory system process;vesicle-mediated transport;signaling;signaling;muscle system process"
"36","PGEN_.00g046300","PGEN_.00g046300",0,0,0.164663,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","PGEN_.00g048270","PGEN_.00g048270",0,0,0.495702,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","PGEN_.00g050280","PGEN_.00g050280",0,0,1.329941,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","PGEN_.00g050980","PGEN_.00g050980",0,0,0.404462,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","PGEN_.00g051640","PGEN_.00g051640",0,0,0.199107,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","PGEN_.00g054560","PGEN_.00g054560",0,0,0.072641,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","PGEN_.00g055010","PGEN_.00g055010",0,0,0.262195,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","PGEN_.00g055130","PGEN_.00g055130",0,0,0.277651,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","PGEN_.00g055190","PGEN_.00g055190",0,0,0.019948,0,0,"Q7M6U3;B2KGL0;Q3UT36;Q5NC10;Q5NC11;Q8CGK1;Q8CGK2;Q99MV8","83560","Tex14","Inactive serine/threonine-protein kinase TEX14","Testis-expressed sequence 14 protein","GO:0005737;GO:0045171;GO:0000776;GO:0030496;GO:0005524;GO:0004672;GO:0019901;GO:0008608;GO:0051301;GO:1990830;GO:0043063;GO:0007140;GO:0051306;GO:0007094;GO:0032466;GO:0032091","Q7M6U3;B2KGL0;Q3UT36;Q5NC10;Q5NC11;Q8CGK1;Q8CGK2;Q99MV8","83560","Tex14","Inactive serine/threonine-protein kinase TEX14","Testis-expressed sequence 14 protein","GO:0005737;GO:0045171;GO:0000776;GO:0030496;GO:0005524;GO:0004672;GO:0019901;GO:0008608;GO:0051301;GO:1990830;GO:0043063;GO:0007140;GO:0051306;GO:0007094;GO:0032466;GO:0032091","GO:0008608;GO:0051301;GO:1990830;GO:0043063;GO:0007140;GO:0051306;GO:0007094;GO:0032466;GO:0032091","GO:0005737;GO:0045171;GO:0000776;GO:0030496","GO:0005524;GO:0004672;GO:0019901","GO:0007059;GO:0022414;GO:0140013;GO:0000278;GO:0007059;GO:0140014;GO:0000278;GO:0007059;GO:0023052;GO:0140014;GO:0000910","chromosome segregation;reproductive process;meiotic nuclear division;mitotic cell cycle;chromosome segregation;mitotic nuclear division;mitotic cell cycle;chromosome segregation;signaling;mitotic nuclear division;cytokinesis"
"45","PGEN_.00g057820","PGEN_.00g057820",0,0,0.230775,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","PGEN_.00g058220","PGEN_.00g058220",0,0,0.193142,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
