tissues,Term_unique,n,,
heart-gonad,signaling,2,,
heart-gonad,transmembrane transport,2,,
heart-gonad,vesicle-mediated transport,2,,
heart-gonad,anatomical structure development,1,,
heart-gonad,cell adhesion,1,,
heart-gonad,cell differentiation,1,,
heart-gonad,cell motility,1,,
heart-gonad,mRNA metabolic process,1,,
heart-gonad,membrane organization,1,,
heart-gonad,programmed cell death,1,,
heart-gonad,reproductive process,1,,
heart-ctenidia,DNA-templated transcription,4,,
heart-ctenidia,anatomical structure development,3,,
heart-ctenidia,regulation of DNA-templated transcription,3,,
heart-ctenidia,signaling,3,,
heart-ctenidia,defense response to other organism,2,,
heart-ctenidia,immune system process,2,,
heart-ctenidia,autophagy,1,,
heart-ctenidia,carbohydrate metabolic process,1,,
heart-ctenidia,cell differentiation,1,,
heart-ctenidia,cellular amino acid metabolic process,1,,
heart-ctenidia,chromatin organization,1,,
heart-ctenidia,cilium organization,1,,
heart-ctenidia,digestive system process,1,,
heart-ctenidia,endocrine process,1,,
heart-ctenidia,nervous system process,1,,
heart-ctenidia,protein folding,1,,
heart-ctenidia,reproductive process,1,,
heart-ctenidia,transmembrane transport,1,,
ctenidia-gonad,tRNA metabolic process,1,,
larvae-juvenile,anatomical structure development,139,,
larvae-juvenile,signaling,118,,
larvae-juvenile,cell differentiation,88,,
larvae-juvenile,immune system process,50,,
larvae-juvenile,transmembrane transport,50,,
larvae-juvenile,carbohydrate derivative metabolic process,46,,
larvae-juvenile,cell adhesion,45,,
larvae-juvenile,DNA-templated transcription,43,,
larvae-juvenile,regulation of DNA-templated transcription,39,,
larvae-juvenile,lipid metabolic process,36,,
larvae-juvenile,vesicle-mediated transport,33,,
larvae-juvenile,reproductive process,32,,
larvae-juvenile,nervous system process,30,,
larvae-juvenile,cell junction organization,29,,
larvae-juvenile,cell motility,27,,
larvae-juvenile,defense response to other organism,24,,
larvae-juvenile,carbohydrate metabolic process,20,,
larvae-juvenile,circulatory system process,20,,
larvae-juvenile,sulfur compound metabolic process,18,,
larvae-juvenile,programmed cell death,17,,
larvae-juvenile,inflammatory response,16,,
larvae-juvenile,muscle system process,16,,
larvae-juvenile,nucleobase-containing small molecule metabolic process,16,,
larvae-juvenile,membrane organization,15,,
larvae-juvenile,protein-containing complex assembly,15,,
larvae-juvenile,cytoskeleton organization,14,,
larvae-juvenile,protein maturation,13,,
larvae-juvenile,cellular amino acid metabolic process,11,,
larvae-juvenile,wound healing,10,,
larvae-juvenile,extracellular matrix organization,9,,
larvae-juvenile,cellular modified amino acid metabolic process,8,,
larvae-juvenile,cilium organization,7,,
larvae-juvenile,intracellular protein transport,7,,
larvae-juvenile,protein glycosylation,7,,
larvae-juvenile,renal system process,7,,
larvae-juvenile,vitamin metabolic process,7,,
larvae-juvenile,mitotic cell cycle,6,,
larvae-juvenile,protein catabolic process,6,,
larvae-juvenile,digestive system process,5,,
larvae-juvenile,nucleocytoplasmic transport,5,,
larvae-juvenile,endocrine process,4,,
larvae-juvenile,generation of precursor metabolites and energy,4,,
larvae-juvenile,microtubule-based movement,4,,
larvae-juvenile,DNA repair,3,,
larvae-juvenile,cell wall organization or biogenesis,3,,
larvae-juvenile,establishment or maintenance of cell polarity,3,,
larvae-juvenile,respiratory system process,3,,
larvae-juvenile,DNA recombination,2,,
larvae-juvenile,DNA replication,2,,
larvae-juvenile,autophagy,2,,
larvae-juvenile,chromatin organization,2,,
larvae-juvenile,mitotic nuclear division,2,,
larvae-juvenile,nitrogen cycle metabolic process,2,,
larvae-juvenile,telomere organization,2,,
larvae-juvenile,chromosome segregation,1,,
larvae-juvenile,detoxification,1,,
larvae-juvenile,gene silencing by RNA,1,,
larvae-juvenile,lysosome organization,1,,
larvae-juvenile,mRNA metabolic process,1,,
ctenidia-juvenile,signaling,35,,
ctenidia-juvenile,anatomical structure development,32,,
ctenidia-juvenile,cell differentiation,21,,
ctenidia-juvenile,DNA-templated transcription,19,,
ctenidia-juvenile,regulation of DNA-templated transcription,16,,
ctenidia-juvenile,cell motility,11,,
ctenidia-juvenile,cell adhesion,10,,
ctenidia-juvenile,immune system process,10,,
ctenidia-juvenile,carbohydrate derivative metabolic process,9,,
ctenidia-juvenile,cell junction organization,9,,
ctenidia-juvenile,reproductive process,9,,
ctenidia-juvenile,transmembrane transport,9,,
ctenidia-juvenile,programmed cell death,8,,
ctenidia-juvenile,defense response to other organism,7,,
ctenidia-juvenile,lipid metabolic process,7,,
ctenidia-juvenile,nervous system process,7,,
ctenidia-juvenile,protein-containing complex assembly,7,,
ctenidia-juvenile,circulatory system process,6,,
ctenidia-juvenile,vesicle-mediated transport,5,,
ctenidia-juvenile,cytoskeleton organization,4,,
ctenidia-juvenile,intracellular protein transport,3,,
ctenidia-juvenile,membrane organization,3,,
ctenidia-juvenile,mitotic cell cycle,3,,
ctenidia-juvenile,DNA recombination,2,,
ctenidia-juvenile,DNA replication,2,,
ctenidia-juvenile,autophagy,2,,
ctenidia-juvenile,cellular amino acid metabolic process,2,,
ctenidia-juvenile,chromosome segregation,2,,
ctenidia-juvenile,inflammatory response,2,,
ctenidia-juvenile,mRNA metabolic process,2,,
ctenidia-juvenile,mitotic nuclear division,2,,
ctenidia-juvenile,muscle system process,2,,
ctenidia-juvenile,nucleobase-containing small molecule metabolic process,2,,
ctenidia-juvenile,nucleocytoplasmic transport,2,,
ctenidia-juvenile,protein glycosylation,2,,
ctenidia-juvenile,respiratory system process,2,,
ctenidia-juvenile,sulfur compound metabolic process,2,,
ctenidia-juvenile,DNA repair,1,,
ctenidia-juvenile,carbohydrate metabolic process,1,,
ctenidia-juvenile,cellular modified amino acid metabolic process,1,,
ctenidia-juvenile,gene silencing by RNA,1,,
ctenidia-juvenile,meiotic nuclear division,1,,
ctenidia-juvenile,protein catabolic process,1,,
ctenidia-juvenile,protein localization to plasma membrane,1,,
ctenidia-juvenile,protein maturation,1,,
ctenidia-juvenile,telomere organization,1,,
heart-juvenile,anatomical structure development,20,,
heart-juvenile,signaling,20,,
heart-juvenile,cell differentiation,15,,
heart-juvenile,carbohydrate derivative metabolic process,8,,
heart-juvenile,cell adhesion,8,,
heart-juvenile,circulatory system process,8,,
heart-juvenile,lipid metabolic process,8,,
heart-juvenile,transmembrane transport,7,,
heart-juvenile,cell junction organization,6,,
heart-juvenile,cell motility,6,,
heart-juvenile,cytoskeleton organization,6,,
heart-juvenile,DNA-templated transcription,5,,
heart-juvenile,cellular modified amino acid metabolic process,5,,
heart-juvenile,nervous system process,5,,
heart-juvenile,sulfur compound metabolic process,5,,
heart-juvenile,cellular amino acid metabolic process,4,,
heart-juvenile,immune system process,4,,
heart-juvenile,programmed cell death,4,,
heart-juvenile,protein-containing complex assembly,4,,
heart-juvenile,vesicle-mediated transport,4,,
heart-juvenile,defense response to other organism,3,,
heart-juvenile,mRNA metabolic process,3,,
heart-juvenile,muscle system process,3,,
heart-juvenile,nucleobase-containing small molecule metabolic process,3,,
heart-juvenile,regulation of DNA-templated transcription,3,,
heart-juvenile,wound healing,3,,
heart-juvenile,digestive system process,2,,
