"target_id" "identifiers" "length" "eff_length" "est_counts" "tpm" "Entry.name" "Status" "Protein.names" "Gene.names" "Organism" "Length" "Gene.ontology..biological.process." "Gene.ontology..cellular.component." "Gene.ontology..GO." "Gene.ontology..molecular.function." "Gene.ontology.IDs"
"41093" "TRINITY_DN8691_c4_g1_i2" "Q9MGM4" 8705 8504.44 60.1469 37.4148 "CYB_DROMA" "reviewed" "Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)" "mt:Cyt-b Cob cytb" "Drosophila mauritiana (Fruit fly)" 378 "respiratory electron transport chain [GO:0022904]" "mitochondrial inner membrane [GO:0005743]; respiratory chain complex III [GO:0045275]" "mitochondrial inner membrane [GO:0005743]; respiratory chain complex III [GO:0045275]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; respiratory electron transport chain [GO:0022904]" "metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]" "GO:0005743; GO:0008121; GO:0022904; GO:0045275; GO:0046872"
"46810" "TRINITY_DN43743_c3_g1_i1" "P50669" 3581 3380.44 48.9994 76.6819 "COX1_CHOFU" "reviewed" "Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)" "COI" "Choristoneura fumiferana (Spruce budworm moth) (Archips fumiferana)" 513 "oxidative phosphorylation [GO:0006119]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidative phosphorylation [GO:0006119]" "cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]" "GO:0004129; GO:0005743; GO:0006119; GO:0016021; GO:0020037; GO:0045277; GO:0046872"
"2272" "TRINITY_DN9614_c1_g3_i1" "P41312" 3885 3684.44 41.0771 58.9799 "COX3_DIDVI" "reviewed" "Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)" "MT-CO3 COIII COXIII MTCO3" "Didelphis virginiana (North American opossum) (Didelphis marsupialis virginiana)" 281 "aerobic electron transport chain [GO:0019646]; respiratory chain complex IV assembly [GO:0008535]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; aerobic electron transport chain [GO:0019646]; respiratory chain complex IV assembly [GO:0008535]" "cytochrome-c oxidase activity [GO:0004129]" "GO:0004129; GO:0005743; GO:0008535; GO:0016021; GO:0019646; GO:0045277"
"56038" "TRINITY_DN203054_c0_g1_i1" "P83863" 2042 1841.44 34.55 99.2581 "H2B_PENVA" "reviewed" "Histone H2B (Fragments)" "" "Penaeus vannamei (Whiteleg shrimp) (Litopenaeus vannamei)" 116 "defense response to bacterium [GO:0042742]" "nucleosome [GO:0000786]; nucleus [GO:0005634]" "nucleosome [GO:0000786]; nucleus [GO:0005634]; DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; protein-containing complex binding [GO:0044877]; defense response to bacterium [GO:0042742]" "DNA binding [GO:0003677]; protein-containing complex binding [GO:0044877]; protein heterodimerization activity [GO:0046982]" "GO:0000786; GO:0003677; GO:0005634; GO:0042742; GO:0044877; GO:0046982"
"27209" "TRINITY_DN6300_c0_g1_i17" "P21329" 5960 5759.44 29.6774 27.2597 "RTJK_DROFU" "reviewed" "RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)" "jockey\pol pol" "Drosophila funebris (Fruit fly)" 916 "" "" "RNA-directed DNA polymerase activity [GO:0003964]" "RNA-directed DNA polymerase activity [GO:0003964]" "GO:0003964"
"21136" "TRINITY_DN2844_c0_g1_i16" "P02299" 3460 3259.44 28.8531 46.8301 "H3_DROME" "reviewed" "Histone H3" "His3; His3:CG31613 CG31613; His3:CG33803 CG33803; His3:CG33806 CG33806; His3:CG33809 CG33809; His3:CG33812 CG33812; His3:CG33815 CG33815; His3:CG33818 CG33818; His3:CG33821 CG33821; His3:CG33824 CG33824; His3:CG33827 CG33827; His3:CG33830 CG33830; His3:CG33833 CG33833; His3:CG33836 CG33836; His3:CG33839 CG33839; His3:CG33842 CG33842; His3:CG33845 CG33845; His3:CG33848 CG33848; His3:CG33851 CG33851; His3:CG33854 CG33854; His3:CG33857 CG33857; His3:CG33860 CG33860; His3:CG33863 CG33863; His3:CG33866 CG33866" "Drosophila melanogaster (Fruit fly)" 136 "nucleosome assembly [GO:0006334]" "chromatin [GO:0000785]; nucleosome [GO:0000786]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]; RCAF complex [GO:0035059]" "chromatin [GO:0000785]; nucleosome [GO:0000786]; nucleus [GO:0005634]; polytene chromosome [GO:0005700]; RCAF complex [GO:0035059]; nucleosomal DNA binding [GO:0031492]; protein heterodimerization activity [GO:0046982]; nucleosome assembly [GO:0006334]" "nucleosomal DNA binding [GO:0031492]; protein heterodimerization activity [GO:0046982]" "GO:0000785; GO:0000786; GO:0005634; GO:0005700; GO:0006334; GO:0031492; GO:0035059; GO:0046982"
"37928" "TRINITY_DN46703_c9_g1_i4" "Q9YIC0" 1773 1572.44 22.1415 74.4919 "EF1A_ORYLA" "reviewed" "Elongation factor 1-alpha (EF-1-alpha)" "eef1a ef1a" "Oryzias latipes (Japanese rice fish) (Japanese killifish)" 461 "translation [GO:0006412]; translational elongation [GO:0006414]" "cytoplasm [GO:0005737]" "cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; translation [GO:0006412]; translational elongation [GO:0006414]" "GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]" "GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0006412; GO:0006414"
"2273" "TRINITY_DN9614_c1_g3_i3" "P41312" 1822 1621.44 18.9229 61.7392 "COX3_DIDVI" "reviewed" "Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)" "MT-CO3 COIII COXIII MTCO3" "Didelphis virginiana (North American opossum) (Didelphis marsupialis virginiana)" 281 "aerobic electron transport chain [GO:0019646]; respiratory chain complex IV assembly [GO:0008535]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; aerobic electron transport chain [GO:0019646]; respiratory chain complex IV assembly [GO:0008535]" "cytochrome-c oxidase activity [GO:0004129]" "GO:0004129; GO:0005743; GO:0008535; GO:0016021; GO:0019646; GO:0045277"
"8996" "TRINITY_DN5427_c0_g1_i3" "P04323" 7107 6906.44 18.5513 14.2101 "POL3_DROME" "reviewed" "Retrovirus-related Pol polyprotein from transposon 17.6 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]" "pol" "Drosophila melanogaster (Fruit fly)" 1058 "DNA integration [GO:0015074]" "" "aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]" "aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]" "GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074"
"47894" "TRINITY_DN16739_c0_g1_i8" "P10394" 10388 10187.4 14.8332 7.70274 "POL4_DROME" "reviewed" "Retrovirus-related Pol polyprotein from transposon 412 [Includes: Protease (EC 3.4.23.-); Reverse transcriptase (EC 2.7.7.49); Endonuclease]" "POL ORF3" "Drosophila melanogaster (Fruit fly)" 1237 "DNA integration [GO:0015074]" "" "aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]; DNA integration [GO:0015074]" "aspartic-type endopeptidase activity [GO:0004190]; endonuclease activity [GO:0004519]; nucleic acid binding [GO:0003676]; RNA-directed DNA polymerase activity [GO:0003964]" "GO:0003676; GO:0003964; GO:0004190; GO:0004519; GO:0015074"
"20945" "TRINITY_DN10650_c0_g1_i11" "Q95SX7" 4931 4730.44 13.5869 15.1948 "RTBS_DROME" "reviewed" "Probable RNA-directed DNA polymerase from transposon BS (EC 2.7.7.49) (Reverse transcriptase)" "RTase" "Drosophila melanogaster (Fruit fly)" 906 "transposition, DNA-mediated [GO:0006313]" "" "RNA-directed DNA polymerase activity [GO:0003964]; transposition, DNA-mediated [GO:0006313]" "RNA-directed DNA polymerase activity [GO:0003964]" "GO:0003964; GO:0006313"
"24650" "TRINITY_DN3217_c0_g2_i2" "P21328" 6405 6204.44 12.657 10.792 "RTJK_DROME" "reviewed" "RNA-directed DNA polymerase from mobile element jockey (EC 2.7.7.49) (Reverse transcriptase)" "pol" "Drosophila melanogaster (Fruit fly)" 916 "" "" "RNA-directed DNA polymerase activity [GO:0003964]" "RNA-directed DNA polymerase activity [GO:0003964]" "GO:0003964"
