"","target_id","gene","ctenidia","gonad","heart","juvenile","larvae","accessions","gene_id","gene_name","gene_description","alt_gene_description","all_GO_ids","BP_GO_ids","CC_GO_ids","MF_GO_ids","GOslim","Term"
"1","PGEN_.00g001180","PGEN_.00g001180",0,0,0,0,50.35728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","PGEN_.00g002670","PGEN_.00g002670",0,0,0,0,2.21451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","PGEN_.00g003600","PGEN_.00g003600",0,0,0,0,0.132969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","PGEN_.00g003750","PGEN_.00g003750",0,0,0,0,44.022518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","PGEN_.00g004210","PGEN_.00g004210",0,0,0,0,24.33968,"Q9GZR5;B2R6B5;Q5TCS2;Q86YJ1;Q9H139",6785,"ELOVL4","Elongation of very long chain fatty acids protein 4","Very long chain 3-oxoacyl-CoA synthase 4","GO:0005783;GO:0030176;GO:0102337;GO:0009922;GO:0008020;GO:0102756;GO:0006633;GO:0034625;GO:0034626;GO:0019367;GO:0035338;GO:0030148;GO:0006636;GO:0042761","GO:0006633;GO:0034625;GO:0034626;GO:0019367;GO:0035338;GO:0030148;GO:0006636;GO:0042761","GO:0005783;GO:0030176","GO:0102337;GO:0009922;GO:0008020;GO:0102756","GO:0006629;GO:0006629;GO:0006629;GO:0006629;GO:0006629;GO:0006790;GO:0055086;GO:1901135;GO:0006629;GO:0006629;GO:0006629","lipid metabolic process;lipid metabolic process;lipid metabolic process;lipid metabolic process;lipid metabolic process;sulfur compound metabolic process;nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process;lipid metabolic process;lipid metabolic process;lipid metabolic process"
"6","PGEN_.00g004290","PGEN_.00g004290",0,0,0,0,0.31128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","PGEN_.00g004530","PGEN_.00g004530",0,0,0,0,4.338121,"Q8CG65;E9QMN0",NA,"Sspo","SCO-spondin","Fibulin-6","GO:0062023;GO:0005737;GO:0031012;GO:0005615;GO:0007155;GO:0030154;GO:0007399","GO:0007155;GO:0030154;GO:0007399","GO:0062023;GO:0005737;GO:0031012;GO:0005615","","GO:0048856","anatomical structure development"
"8","PGEN_.00g004710","PGEN_.00g004710",0,0,0,0,0.979592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","PGEN_.00g004770","PGEN_.00g004770",0,0,0,0,0.469052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","PGEN_.00g005160","PGEN_.00g005160",0,0,0,0,2.111824,"D3YXG0;D3Z2Q7",545370,"Hmcn1","Hemicentin-1","Fibulin-6","GO:0005912;GO:0005604;GO:0005938;GO:0030054;GO:0032154;GO:0062023;GO:0005737;GO:0005576;GO:0005927;GO:0005509;GO:0090527;GO:0071711;GO:0007049;GO:0051301;GO:0007157;GO:0007156;GO:0009617","GO:0090527;GO:0071711;GO:0007049;GO:0051301;GO:0007157;GO:0007156;GO:0009617","GO:0005912;GO:0005604;GO:0005938;GO:0030054;GO:0032154;GO:0062023;GO:0005737;GO:0005576;GO:0005927","GO:0005509","GO:0007010;GO:0030198;GO:0007155;GO:0007155","cytoskeleton organization;extracellular matrix organization;cell adhesion;cell adhesion"
"11","PGEN_.00g005180","PGEN_.00g005180",0,0,0,0,9.911728,"C0HL12",362931,"Adgrb1","Vasculostatin-40","Brain-specific angiogenesis inhibitor 1","GO:0030425;GO:0043197;GO:0005615;GO:0005925;GO:0098978;GO:0005887;GO:0099055;GO:0048471;GO:0001891;GO:0005886;GO:0014069;GO:0004930;GO:0001530;GO:0030165;GO:0001786;GO:0004888;GO:0007189;GO:0043277;GO:0007166;GO:0050829;GO:0043652;GO:0045087;GO:0007517;GO:0016525;GO:0010596;GO:0042177;GO:0031397;GO:0007399;GO:0006911;GO:0006910;GO:1901741;GO:1903428;GO:0051965;GO:0098974;GO:0051963;GO:0048167","GO:0007189;GO:0043277;GO:0007166;GO:0050829;GO:0043652;GO:0045087;GO:0007517;GO:0016525;GO:0010596;GO:0042177;GO:0031397;GO:0007399;GO:0006911;GO:0006910;GO:1901741;GO:1903428;GO:0051965;GO:0098974;GO:0051963;GO:0048167","GO:0030425;GO:0043197;GO:0005615;GO:0005925;GO:0098978;GO:0005887;GO:0099055;GO:0048471;GO:0001891;GO:0005886;GO:0014069","GO:0004930;GO:0001530;GO:0030165;GO:0001786;GO:0004888","GO:0023052;GO:0016192;GO:0023052;GO:0098542;GO:0016192;GO:0061024;GO:0002376;GO:0098542;GO:0048856;GO:0048856;GO:0048870;GO:0030163;GO:0048856;GO:0016192;GO:0061024;GO:0016192;GO:0030154;GO:0048856;GO:0034330;GO:0048856;GO:0007010;GO:0034330;GO:0034330;GO:0048856;GO:0023052","signaling;vesicle-mediated transport;signaling;defense response to other organism;vesicle-mediated transport;membrane organization;immune system process;defense response to other organism;anatomical structure development;anatomical structure development;cell motility;protein catabolic process;anatomical structure development;vesicle-mediated transport;membrane organization;vesicle-mediated transport;cell differentiation;anatomical structure development;cell junction organization;anatomical structure development;cytoskeleton organization;cell junction organization;cell junction organization;anatomical structure development;signaling"
"12","PGEN_.00g006350","PGEN_.00g006350",0,0,0,0,1.739926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","PGEN_.00g006370","PGEN_.00g006370",0,0,0,0,1.748542,"P60323;Q495E5",342977,"NANOS3","Nanos homolog 3","Adenine nucleotide translocator 3","GO:0005737;GO:0010494;GO:0005634;GO:0000932;GO:0048471;GO:0003729;GO:0003723;GO:0008270;GO:0007281;GO:2001234;GO:0017148;GO:0048477;GO:1900153;GO:0051726;GO:0006417;GO:0007283","GO:0007281;GO:2001234;GO:0017148;GO:0048477;GO:1900153;GO:0051726;GO:0006417;GO:0007283","GO:0005737;GO:0010494;GO:0005634;GO:0000932;GO:0048471","GO:0003729;GO:0003723;GO:0008270","GO:0022414;GO:0030154;GO:0048856;GO:0012501;GO:0023052;GO:0022414;GO:0030154;GO:0048856;GO:0016071;GO:0022414","reproductive process;cell differentiation;anatomical structure development;programmed cell death;signaling;reproductive process;cell differentiation;anatomical structure development;mRNA metabolic process;reproductive process"
"14","PGEN_.00g006970","PGEN_.00g006970",0,0,0,0,2.691711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","PGEN_.00g007250","PGEN_.00g007250",0,0,0,0,0.735567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","PGEN_.00g007280","PGEN_.00g007280",0,0,0,0,3.747203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","PGEN_.00g007290","PGEN_.00g007290",0,0,0,0,1.950323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","PGEN_.00g007440","PGEN_.00g007440",0,0,0,0,0.138857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
