"target_id" "identifiers" "length" "eff_length" "est_counts" "tpm" "Entry.name" "Status" "Protein.names" "Gene.names" "Organism" "Length" "Gene.ontology..biological.process." "Gene.ontology..cellular.component." "Gene.ontology..GO." "Gene.ontology..molecular.function." "Gene.ontology.IDs"
"41093" "TRINITY_DN8691_c4_g1_i2" "Q9MGM4" 8705 8522.52 360.496 622.424 "CYB_DROMA" "reviewed" "Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit)" "mt:Cyt-b Cob cytb" "Drosophila mauritiana (Fruit fly)" 378 "respiratory electron transport chain [GO:0022904]" "mitochondrial inner membrane [GO:0005743]; respiratory chain complex III [GO:0045275]" "mitochondrial inner membrane [GO:0005743]; respiratory chain complex III [GO:0045275]; metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]; respiratory electron transport chain [GO:0022904]" "metal ion binding [GO:0046872]; ubiquinol-cytochrome-c reductase activity [GO:0008121]" "GO:0005743; GO:0008121; GO:0022904; GO:0045275; GO:0046872"
"37928" "TRINITY_DN46703_c9_g1_i4" "Q9YIC0" 1773 1590.52 280.079 2591.16 "EF1A_ORYLA" "reviewed" "Elongation factor 1-alpha (EF-1-alpha)" "eef1a ef1a" "Oryzias latipes (Japanese rice fish) (Japanese killifish)" 461 "translation [GO:0006412]; translational elongation [GO:0006414]" "cytoplasm [GO:0005737]" "cytoplasm [GO:0005737]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; translation [GO:0006412]; translational elongation [GO:0006414]" "GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]" "GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0006412; GO:0006414"
"2272" "TRINITY_DN9614_c1_g3_i1" "P41312" 3885 3702.52 271.004 1077.04 "COX3_DIDVI" "reviewed" "Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)" "MT-CO3 COIII COXIII MTCO3" "Didelphis virginiana (North American opossum) (Didelphis marsupialis virginiana)" 281 "aerobic electron transport chain [GO:0019646]; respiratory chain complex IV assembly [GO:0008535]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; aerobic electron transport chain [GO:0019646]; respiratory chain complex IV assembly [GO:0008535]" "cytochrome-c oxidase activity [GO:0004129]" "GO:0004129; GO:0005743; GO:0008535; GO:0016021; GO:0019646; GO:0045277"
"46810" "TRINITY_DN43743_c3_g1_i1" "P50669" 3581 3398.52 215.675 933.822 "COX1_CHOFU" "reviewed" "Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)" "COI" "Choristoneura fumiferana (Spruce budworm moth) (Archips fumiferana)" 513 "oxidative phosphorylation [GO:0006119]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidative phosphorylation [GO:0006119]" "cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]" "GO:0004129; GO:0005743; GO:0006119; GO:0016021; GO:0020037; GO:0045277; GO:0046872"
"46809" "TRINITY_DN43743_c3_g2_i1" "P50669" 3061 2878.52 192.253 982.783 "COX1_CHOFU" "reviewed" "Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)" "COI" "Choristoneura fumiferana (Spruce budworm moth) (Archips fumiferana)" 513 "oxidative phosphorylation [GO:0006119]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]" "integral component of membrane [GO:0016021]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; oxidative phosphorylation [GO:0006119]" "cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]" "GO:0004129; GO:0005743; GO:0006119; GO:0016021; GO:0020037; GO:0045277; GO:0046872"
"44590" "TRINITY_DN12803_c0_g1_i3" "P63017" 2374 2191.52 133 893.016 "HSP7C_MOUSE" "reviewed" "Heat shock cognate 71 kDa protein (EC 3.6.4.10) (Heat shock 70 kDa protein 8)" "Hspa8 Hsc70 Hsc73" "Mus musculus (Mouse)" 646 "ATP metabolic process [GO:0046034]; cellular protein complex disassembly [GO:0043624]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; chaperone-mediated autophagy [GO:0061684]; chaperone-mediated autophagy translocation complex disassembly [GO:1904764]; chaperone-mediated protein folding [GO:0061077]; clathrin coat disassembly [GO:0072318]; late endosomal microautophagy [GO:0061738]; maintenance of postsynaptic specialization structure [GO:0098880]; modulation by host of viral process [GO:0044788]; mRNA processing [GO:0006397]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of supramolecular fiber organization [GO:1902904]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation by host of viral genome replication [GO:0044829]; positive regulation of catalytic activity [GO:0043085]; positive regulation of gene expression [GO:0010628]; positive regulation of lysosomal membrane permeability [GO:0097214]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of phagocytosis [GO:0050766]; positive regulation of protein refolding [GO:1904592]; positive regulation of proteolysis [GO:0045862]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; protein autophosphorylation [GO:0046777]; protein folding [GO:0006457]; protein import into nucleus [GO:0006606]; protein refolding [GO:0042026]; protein targeting to lysosome involved in chaperone-mediated autophagy [GO:0061740]; regulation of cell cycle [GO:0051726]; regulation of postsynapse organization [GO:0099175]; regulation of protein complex stability [GO:0061635]; regulation of protein stability [GO:0031647]; RNA splicing [GO:0008380]; slow axonal transport [GO:1990832]; vesicle-mediated transport [GO:0016192]" "asymmetric synapse [GO:0032279]; autophagosome [GO:0005776]; axon [GO:0030424]; cell surface [GO:0009986]; chaperone complex [GO:0101031]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; glycinergic synapse [GO:0098690]; intermediate filament [GO:0005882]; late endosome [GO:0005770]; late endosome lumen [GO:0031906]; lysosomal matrix [GO:1990836]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; melanosome [GO:0042470]; membrane raft [GO:0045121]; messenger ribonucleoprotein complex [GO:1990124]; microtubule [GO:0005874]; myelin sheath [GO:0043209]; neuronal cell body [GO:0043025]; neuron projection [GO:0043005]; neuron spine [GO:0044309]; nucleolus [GO:0005730]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; photoreceptor inner segment [GO:0001917]; photoreceptor ribbon synapse [GO:0098684]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; postsynaptic cytosol [GO:0099524]; postsynaptic density [GO:0014069]; postsynaptic specialization membrane [GO:0099634]; presynapse [GO:0098793]; presynaptic cytosol [GO:0099523]; protein-containing complex [GO:0032991]; Prp19 complex [GO:0000974]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]; synaptic vesicle [GO:0008021]; terminal bouton [GO:0043195]" "asymmetric synapse [GO:0032279]; autophagosome [GO:0005776]; axon [GO:0030424]; cell surface [GO:0009986]; chaperone complex [GO:0101031]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic shaft [GO:0043198]; dendritic spine [GO:0043197]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; glycinergic synapse [GO:0098690]; intermediate filament [GO:0005882]; late endosome [GO:0005770]; late endosome lumen [GO:0031906]; lysosomal matrix [GO:1990836]; lysosomal membrane [GO:0005765]; lysosome [GO:0005764]; melanosome [GO:0042470]; membrane raft [GO:0045121]; messenger ribonucleoprotein complex [GO:1990124]; microtubule [GO:0005874]; myelin sheath [GO:0043209]; neuron projection [GO:0043005]; neuron spine [GO:0044309]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleus [GO:0005634]; perikaryon [GO:0043204]; perinuclear region of cytoplasm [GO:0048471]; photoreceptor inner segment [GO:0001917]; photoreceptor ribbon synapse [GO:0098684]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; postsynaptic cytosol [GO:0099524]; postsynaptic density [GO:0014069]; postsynaptic specialization membrane [GO:0099634]; presynapse [GO:0098793]; presynaptic cytosol [GO:0099523]; protein-containing complex [GO:0032991]; Prp19 complex [GO:0000974]; ribonucleoprotein complex [GO:1990904]; spliceosomal complex [GO:0005681]; synaptic vesicle [GO:0008021]; terminal bouton [GO:0043195]; A1 adenosine receptor binding [GO:0031686]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; C3HC4-type RING finger domain binding [GO:0055131]; chaperone binding [GO:0051087]; clathrin-uncoating ATPase activity [GO:1990833]; enzyme binding [GO:0019899]; G protein-coupled receptor binding [GO:0001664]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; peptide binding [GO:0042277]; phosphatidylserine binding [GO:0001786]; prostaglandin binding [GO:1904593]; protein disaggregase activity [GO:0140545]; protein folding chaperone [GO:0044183]; protein-macromolecule adaptor activity [GO:0030674]; RNA binding [GO:0003723]; signaling receptor binding [GO:0005102]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]; ATP metabolic process [GO:0046034]; cellular protein complex disassembly [GO:0043624]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; chaperone-mediated autophagy [GO:0061684]; chaperone-mediated autophagy translocation complex disassembly [GO:1904764]; chaperone-mediated protein folding [GO:0061077]; clathrin coat disassembly [GO:0072318]; late endosomal microautophagy [GO:0061738]; maintenance of postsynaptic specialization structure [GO:0098880]; modulation by host of viral process [GO:0044788]; mRNA processing [GO:0006397]; negative regulation of cardiac muscle cell apoptotic process [GO:0010667]; negative regulation of supramolecular fiber organization [GO:1902904]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation by host of viral genome replication [GO:0044829]; positive regulation of catalytic activity [GO:0043085]; positive regulation of gene expression [GO:0010628]; positive regulation of lysosomal membrane permeability [GO:0097214]; positive regulation of mRNA splicing, via spliceosome [GO:0048026]; positive regulation of phagocytosis [GO:0050766]; positive regulation of protein refolding [GO:1904592]; positive regulation of proteolysis [GO:0045862]; positive regulation of T cell mediated cytotoxicity [GO:0001916]; protein autophosphorylation [GO:0046777]; protein folding [GO:0006457]; protein import into nucleus [GO:0006606]; protein refolding [GO:0042026]; protein targeting to lysosome involved in chaperone-mediated autophagy [GO:0061740]; regulation of cell cycle [GO:0051726]; regulation of postsynapse organization [GO:0099175]; regulation of protein complex stability [GO:0061635]; regulation of protein stability [GO:0031647]; RNA splicing [GO:0008380]; slow axonal transport [GO:1990832]; vesicle-mediated transport [GO:0016192]" "A1 adenosine receptor binding [GO:0031686]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; C3HC4-type RING finger domain binding [GO:0055131]; chaperone binding [GO:0051087]; clathrin-uncoating ATPase activity [GO:1990833]; enzyme binding [GO:0019899]; G protein-coupled receptor binding [GO:0001664]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; peptide binding [GO:0042277]; phosphatidylserine binding [GO:0001786]; prostaglandin binding [GO:1904593]; protein disaggregase activity [GO:0140545]; protein folding chaperone [GO:0044183]; protein-macromolecule adaptor activity [GO:0030674]; RNA binding [GO:0003723]; signaling receptor binding [GO:0005102]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]" "GO:0000974; GO:0001664; GO:0001786; GO:0001916; GO:0001917; GO:0003723; GO:0005102; GO:0005524; GO:0005634; GO:0005681; GO:0005730; GO:0005737; GO:0005764; GO:0005765; GO:0005770; GO:0005776; GO:0005829; GO:0005874; GO:0005882; GO:0005886; GO:0006397; GO:0006457; GO:0006606; GO:0008021; GO:0008380; GO:0009986; GO:0010628; GO:0010667; GO:0014069; GO:0016192; GO:0019899; GO:0030424; GO:0030425; GO:0030674; GO:0031072; GO:0031625; GO:0031647; GO:0031686; GO:0031906; GO:0032279; GO:0032991; GO:0034620; GO:0042026; GO:0042277; GO:0042470; GO:0043005; GO:0043025; GO:0043085; GO:0043195; GO:0043197; GO:0043198; GO:0043204; GO:0043209; GO:0043531; GO:0043624; GO:0044183; GO:0044309; GO:0044788; GO:0044829; GO:0045121; GO:0045862; GO:0045892; GO:0046034; GO:0046777; GO:0048026; GO:0048471; GO:0050766; GO:0051082; GO:0051085; GO:0051087; GO:0051726; GO:0051787; GO:0055131; GO:0061077; GO:0061635; GO:0061684; GO:0061738; GO:0061740; GO:0070062; GO:0072318; GO:0097214; GO:0098684; GO:0098690; GO:0098793; GO:0098794; GO:0098880; GO:0098978; GO:0099175; GO:0099523; GO:0099524; GO:0099634; GO:0101031; GO:0140545; GO:0140603; GO:1902904; GO:1904592; GO:1904593; GO:1904764; GO:1990124; GO:1990832; GO:1990833; GO:1990836; GO:1990904"
"38782" "TRINITY_DN6463_c0_g1_i15" "P05214" 1848 1665.52 130.588 1153.73 "TBA3_MOUSE" "reviewed" "Tubulin alpha-3 chain (Alpha-tubulin 3/7) (Alpha-tubulin isotype M-alpha-3/7) (Tubulin alpha-3/alpha-7 chain) [Cleaved into: Detyrosinated tubulin alpha-3 chain]" "Tuba3a Tuba3; Tuba3b Tuba7" "Mus musculus (Mouse)" 450 "microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]" "ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]" "ciliary basal body [GO:0036064]; cilium [GO:0005929]; cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]; microtubule cytoskeleton organization [GO:0000226]; mitotic cell cycle [GO:0000278]" "GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]" "GO:0000226; GO:0000278; GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0005929; GO:0015630; GO:0036064"
"41069" "TRINITY_DN8631_c1_g1_i1" "P30946" 3054 2871.52 114 584.179 "HS90A_RABIT" "reviewed" "Heat shock protein HSP 90-alpha (EC 3.6.4.10)" "HSP90AA1 HSPCA" "Oryctolagus cuniculus (Rabbit)" 694 "activation of innate immune response [GO:0002218]; cellular response to virus [GO:0098586]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of interferon-beta production [GO:0032728]; protein folding [GO:0006457]; regulation of apoptotic process [GO:0042981]; response to antibiotic [GO:0046677]; response to cold [GO:0009409]; response to heat [GO:0009408]" "cytoplasm [GO:0005737]; melanosome [GO:0042470]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]" "cytoplasm [GO:0005737]; melanosome [GO:0042470]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; phosphoprotein binding [GO:0051219]; unfolded protein binding [GO:0051082]; activation of innate immune response [GO:0002218]; cellular response to virus [GO:0098586]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of interferon-beta production [GO:0032728]; protein folding [GO:0006457]; regulation of apoptotic process [GO:0042981]; response to antibiotic [GO:0046677]; response to cold [GO:0009409]; response to heat [GO:0009408]" "ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0140603]; phosphoprotein binding [GO:0051219]; unfolded protein binding [GO:0051082]" "GO:0002218; GO:0002230; GO:0005524; GO:0005634; GO:0005737; GO:0005739; GO:0005886; GO:0006457; GO:0009408; GO:0009409; GO:0032728; GO:0042470; GO:0042981; GO:0046677; GO:0051082; GO:0051219; GO:0098586; GO:0140603"
"30776" "TRINITY_DN5777_c0_g2_i4" "P12716" 1050 867.522 105.954 1797.18 "ACTC_PISOC" "reviewed" "Actin, cytoplasmic [Cleaved into: Actin, cytoplasmic, intermediate form]" "" "Pisaster ochraceus (Ochre sea star) (Asterias ochracea)" 376 "" "cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]" "cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; ATP binding [GO:0005524]" "ATP binding [GO:0005524]" "GO:0005524; GO:0005737; GO:0005856"
"18264" "TRINITY_DN8383_c3_g2_i4" "P29691" 2979 2796.52 104.279 548.695 "EF2_CAEEL" "reviewed" "Elongation factor 2 (EF-2)" "eef-2 F25H5.4" "Caenorhabditis elegans" 852 "defense response to Gram-negative bacterium [GO:0050829]; negative regulation of gene expression [GO:0010629]; translational elongation [GO:0006414]" "cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]" "cytoplasm [GO:0005737]; ribonucleoprotein complex [GO:1990904]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]; defense response to Gram-negative bacterium [GO:0050829]; negative regulation of gene expression [GO:0010629]; translational elongation [GO:0006414]" "GTPase activity [GO:0003924]; GTP binding [GO:0005525]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]" "GO:0003746; GO:0003924; GO:0005525; GO:0005737; GO:0006414; GO:0010629; GO:0043022; GO:0050829; GO:1990904"
