"","target_id","gene","ctenidia","gonad","heart","juvenile","larvae","identifiers","gene_id.x","gene_name.x","annotation","alt_annotation","goterms","accessions","gene_id.y","gene_name.y","gene_description","alt_gene_description","all_GO_ids","BP_GO_ids","CC_GO_ids","MF_GO_ids","GOslim","Term"
"1","PGEN_.00g000130","PGEN_.00g000130",0.365839,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","PGEN_.00g000150","PGEN_.00g000150",0.244026,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","PGEN_.00g000550","PGEN_.00g000550",0.409398,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","PGEN_.00g001570","PGEN_.00g001570",0.146062,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","PGEN_.00g005120","PGEN_.00g005120",1.507115,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","PGEN_.00g005140","PGEN_.00g005140",0.297165,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","PGEN_.00g005280","PGEN_.00g005280",0.772402,0,0,0,0,"P10394",NA,"POL","Endonuclease","Brain-specific angiogenesis inhibitor 3","GO:0004190;GO:0004519;GO:0003676;GO:0003964;GO:0015074","P10394",NA,"POL","Endonuclease","Brain-specific angiogenesis inhibitor 3","GO:0004190;GO:0004519;GO:0003676;GO:0003964;GO:0015074","GO:0015074","","GO:0004190;GO:0004519;GO:0003676;GO:0003964",NA,NA
"8","PGEN_.00g008680","PGEN_.00g008680",4.159792,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","PGEN_.00g009220","PGEN_.00g009220",2.415708,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","PGEN_.00g009240","PGEN_.00g009240",0.215887,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","PGEN_.00g010910","PGEN_.00g010910",0.283378,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","PGEN_.00g011450","PGEN_.00g011450",0.09313,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","PGEN_.00g011960","PGEN_.00g011960",0.222282,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","PGEN_.00g013110","PGEN_.00g013110",0.186059,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","PGEN_.00g013410","PGEN_.00g013410",1.782186,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","PGEN_.00g015960","PGEN_.00g015960",0.394221,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","PGEN_.00g016120","PGEN_.00g016120",0.380922,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","PGEN_.00g017210","PGEN_.00g017210",0.042671,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","PGEN_.00g017230","PGEN_.00g017230",0.433789,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","PGEN_.00g019020","PGEN_.00g019020",0.993082,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","PGEN_.00g019480","PGEN_.00g019480",0.150203,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","PGEN_.00g020470","PGEN_.00g020470",0.301423,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","PGEN_.00g020510","PGEN_.00g020510",0.580928,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","PGEN_.00g020980","PGEN_.00g020980",0.334757,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","PGEN_.00g025400","PGEN_.00g025400",0.357094,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","PGEN_.00g026030","PGEN_.00g026030",0.343223,0,0,0,0,"Q24817",NA,"RACD","Rho-related protein racD","YIP1-interacting factor homolog B","GO:0005886;GO:0005525;GO:0003924;GO:0007264","Q24817",NA,"RACD","Rho-related protein racD","YIP1-interacting factor homolog B","GO:0005886;GO:0005525;GO:0003924;GO:0007264","GO:0007264","GO:0005886","GO:0005525;GO:0003924","GO:0023052","signaling"
"27","PGEN_.00g031550","PGEN_.00g031550",4.701956,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","PGEN_.00g033140","PGEN_.00g033140",0.854565,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
