"","target_id","gene","ctenidia","gonad","heart","juvenile","larvae","identifiers","gene_id.x","gene_name.x","annotation","alt_annotation","goterms","accessions","gene_id.y","gene_name.y","gene_description","alt_gene_description","all_GO_ids","BP_GO_ids","CC_GO_ids","MF_GO_ids","GOslim","Term"
"1","PGEN_.00g000100","PGEN_.00g000100",0,0,0,0.304322,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","PGEN_.00g000120","PGEN_.00g000120",0,0,0,0.096967,0,"P34457","","","Putative uncharacterized transposon-derived protein F54H12.3","RING-type E3 ubiquitin transferase BIRC3","GO:0003676;GO:0015074","P34457",NA,"","Putative uncharacterized transposon-derived protein F54H12.3","RING-type E3 ubiquitin transferase BIRC3","GO:0003676;GO:0015074","GO:0015074","","GO:0003676",NA,NA
"3","PGEN_.00g000370","PGEN_.00g000370",0,0,0,0.07482,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","PGEN_.00g000630","PGEN_.00g000630",0,0,0,0.040251,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","PGEN_.00g000830","PGEN_.00g000830",0,0,0,0.293225,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","PGEN_.00g000880","PGEN_.00g000880",0,0,0,4.620327,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","PGEN_.00g001150","PGEN_.00g001150",0,0,0,1.098752,0,"D4GU72","8924604","agl12","Low-salt glycan biosynthesis protein Agl12","Transcription initiation factor IIE subunit beta","GO:0008460;GO:0009225;GO:0006486;GO:0045232","D4GU72",8924604,"agl12","Low-salt glycan biosynthesis protein Agl12","Transcription initiation factor IIE subunit beta","GO:0008460;GO:0009225;GO:0006486;GO:0045232","GO:0009225;GO:0006486;GO:0045232","","GO:0008460","GO:0055086;GO:1901135;GO:1901135","nucleobase-containing small molecule metabolic process;carbohydrate derivative metabolic process;carbohydrate derivative metabolic process"
"8","PGEN_.00g001560","PGEN_.00g001560",0,0,0,0.357552,0,"P27169;B2RA40;Q16052;Q6B0J6;Q9UCB1","5444","PON1","Serum paraoxonase/arylesterase 1","Serum aryldialkylphosphatase 1","GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0043231;GO:0034366;GO:0102007;GO:0004063;GO:0004064;GO:0005509;GO:0005543;GO:0042803;GO:0019439;GO:0046395;GO:0008203;GO:0046434;GO:0046470;GO:0051099;GO:0010875;GO:0032411;GO:0070542;GO:1902617;GO:0031667;GO:0009636","P27169;B2RA40;Q16052;Q6B0J6;Q9UCB1",5444,"PON1","Serum paraoxonase/arylesterase 1","Serum aryldialkylphosphatase 1","GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0043231;GO:0034366;GO:0102007;GO:0004063;GO:0004064;GO:0005509;GO:0005543;GO:0042803;GO:0019439;GO:0046395;GO:0008203;GO:0046434;GO:0046470;GO:0051099;GO:0010875;GO:0032411;GO:0070542;GO:1902617;GO:0031667;GO:0009636","GO:0019439;GO:0046395;GO:0008203;GO:0046434;GO:0046470;GO:0051099;GO:0010875;GO:0032411;GO:0070542;GO:1902617;GO:0031667;GO:0009636","GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0043231;GO:0034366","GO:0102007;GO:0004063;GO:0004064;GO:0005509;GO:0005543;GO:0042803","GO:0006629;GO:0006629","lipid metabolic process;lipid metabolic process"
"9","PGEN_.00g001580","PGEN_.00g001580",0,0,0,0.501925,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","PGEN_.00g001590","PGEN_.00g001590",0,0,0,1.216802,0,"P27169;B2RA40;Q16052;Q6B0J6;Q9UCB1","5444","PON1","Serum paraoxonase/arylesterase 1","Serum aryldialkylphosphatase 1","GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0043231;GO:0034366;GO:0102007;GO:0004063;GO:0004064;GO:0005509;GO:0005543;GO:0042803;GO:0019439;GO:0046395;GO:0008203;GO:0046434;GO:0046470;GO:0051099;GO:0010875;GO:0032411;GO:0070542;GO:1902617;GO:0031667;GO:0009636","P27169;B2RA40;Q16052;Q6B0J6;Q9UCB1",5444,"PON1","Serum paraoxonase/arylesterase 1","Serum aryldialkylphosphatase 1","GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0043231;GO:0034366;GO:0102007;GO:0004063;GO:0004064;GO:0005509;GO:0005543;GO:0042803;GO:0019439;GO:0046395;GO:0008203;GO:0046434;GO:0046470;GO:0051099;GO:0010875;GO:0032411;GO:0070542;GO:1902617;GO:0031667;GO:0009636","GO:0019439;GO:0046395;GO:0008203;GO:0046434;GO:0046470;GO:0051099;GO:0010875;GO:0032411;GO:0070542;GO:1902617;GO:0031667;GO:0009636","GO:0072562;GO:0070062;GO:0005576;GO:0005615;GO:0034364;GO:0043231;GO:0034366","GO:0102007;GO:0004063;GO:0004064;GO:0005509;GO:0005543;GO:0042803","GO:0006629;GO:0006629","lipid metabolic process;lipid metabolic process"
"11","PGEN_.00g001710","PGEN_.00g001710",0,0,0,0.362828,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","PGEN_.00g002120","PGEN_.00g002120",0,0,0,4.79155,0,"Q60519;B1B1A9;Q6ZPQ8;Q7TT33;Q8BVE5","20357","Sema5b","Semaphorin-5B","Semaphorin-G","GO:0016021;GO:0045499;GO:0030215;GO:0048675;GO:0007411;GO:0050908;GO:0048843;GO:0001755;GO:1990138;GO:0097485;GO:0030335;GO:0071526","Q60519;B1B1A9;Q6ZPQ8;Q7TT33;Q8BVE5",20357,"Sema5b","Semaphorin-5B","Semaphorin-G","GO:0016021;GO:0045499;GO:0030215;GO:0048675;GO:0007411;GO:0050908;GO:0048843;GO:0001755;GO:1990138;GO:0097485;GO:0030335;GO:0071526","GO:0048675;GO:0007411;GO:0050908;GO:0048843;GO:0001755;GO:1990138;GO:0097485;GO:0030335;GO:0071526","GO:0016021","GO:0045499;GO:0030215","GO:0030154;GO:0048856;GO:0030154;GO:0048856;GO:0050877;GO:0030154;GO:0048856;GO:0030154;GO:0048856;GO:0048870;GO:0030154;GO:0048856;GO:0030154;GO:0048856;GO:0048870;GO:0023052","cell differentiation;anatomical structure development;cell differentiation;anatomical structure development;nervous system process;cell differentiation;anatomical structure development;cell differentiation;anatomical structure development;cell motility;cell differentiation;anatomical structure development;cell differentiation;anatomical structure development;cell motility;signaling"
"13","PGEN_.00g002190","PGEN_.00g002190",0,0,0,0.046388,0,"C3ZQF9","","QRFPR","QRFP-like peptide receptor","CCK-XLR","GO:0005887;GO:0004930;GO:0004983;GO:1901653;GO:0007186","C3ZQF9",NA,"QRFPR","QRFP-like peptide receptor","CCK-XLR","GO:0005887;GO:0004930;GO:0004983;GO:1901653;GO:0007186","GO:1901653;GO:0007186","GO:0005887","GO:0004930;GO:0004983","GO:0023052","signaling"
